GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income
24031700819,Census Tract 7008.19; Montgomery County; Maryland,6669.0,1.7,4.7,10.9,12.9,103155.0
24031700820,Census Tract 7008.20; Montgomery County; Maryland,3548.0,16.5,10.1,9.4,7.1,92560.0
24031700822,Census Tract 7008.22; Montgomery County; Maryland,1555.0,10.1,24.4,17.6,12.2,48693.0
24031700823,Census Tract 7008.23; Montgomery County; Maryland,3373.0,6.1,6.8,14.7,10.2,165568.0
24031700824,Census Tract 7008.24; Montgomery County; Maryland,2703.0,0.7,3.3,14.7,7.8,225038.0
24031700826,Census Tract 7008.26; Montgomery County; Maryland,6101.0,2.9,1.1,13.6,11.7,173188.0
24031700828,Census Tract 7008.28; Montgomery County; Maryland,2076.0,2.9,1.2,17.8,4.7,220714.0
24031700829,Census Tract 7008.29; Montgomery County; Maryland,3299.0,4.8,5.5,21.5,11.4,152283.0
24031700830,Census Tract 7008.30; Montgomery County; Maryland,2516.0,15.9,10.1,9.7,10.9,83537.0
24031700832,Census Tract 7008.32; Montgomery County; Maryland,3004.0,8.3,13.9,10.3,11.4,80417.0
24031700833,Census Tract 7008.33; Montgomery County; Maryland,4027.0,13.8,15.3,10.5,14.2,110391.0
24031700834,Census Tract 7008.34; Montgomery County; Maryland,5665.0,2.4,17.8,6.7,9.8,120345.0
24031700835,Census Tract 7008.35; Montgomery County; Maryland,4695.0,1.1,1.9,16.4,8.9,169188.0
24031700836,Census Tract 7008.36; Montgomery County; Maryland,1484.0,11.0,3.2,11.4,10.0,72447.0
24031700837,Census Tract 7008.37; Montgomery County; Maryland,6909.0,8.3,8.2,9.1,6.9,104083.0
24031700838,Census Tract 7008.38; Montgomery County; Maryland,4636.0,2.3,2.2,9.4,7.8,112562.0
24031700839,Census Tract 7008.39; Montgomery County; Maryland,5604.0,4.8,7.3,9.5,4.7,105461.0
24031700901,Census Tract 7009.01; Montgomery County; Maryland,4905.0,29.1,16.8,29.7,18.7,77885.0
24031700902,Census Tract 7009.02; Montgomery County; Maryland,4299.0,0.4,3.0,16.1,13.2,118821.0
24031700903,Census Tract 7009.03; Montgomery County; Maryland,2072.0,6.6,15.8,11.0,8.1,105771.0
24031700904,Census Tract 7009.04; Montgomery County; Maryland,3979.0,31.2,25.1,12.9,7.6,81438.0
24031700905,Census Tract 7009.05; Montgomery County; Maryland,4430.0,20.5,4.6,9.3,9.3,103787.0
24031701001,Census Tract 7010.01; Montgomery County; Maryland,5998.0,5.2,8.6,20.3,12.8,152393.0
24031701002,Census Tract 7010.02; Montgomery County; Maryland,3928.0,3.4,2.0,26.4,10.0,234962.0
24031701004,Census Tract 7010.04; Montgomery County; Maryland,4654.0,6.7,8.9,18.1,13.8,147321.0
24031701005,Census Tract 7010.05; Montgomery County; Maryland,3187.0,4.9,3.8,17.3,10.2,189107.0
24031701006,Census Tract 7010.06; Montgomery County; Maryland,5465.0,2.8,3.3,21.0,4.7,199352.0
24031701007,Census Tract 7010.07; Montgomery County; Maryland,3687.0,2.4,2.2,19.3,8.4,114219.0
24031701101,Census Tract 7011.01; Montgomery County; Maryland,4490.0,1.9,5.1,16.2,5.9,155927.0
24031701102,Census Tract 7011.02; Montgomery County; Maryland,6068.0,7.5,10.4,16.5,9.1,138811.0
24031701201,Census Tract 7012.01; Montgomery County; Maryland,6644.0,10.4,10.7,11.4,9.9,128705.0
24031701202,Census Tract 7012.02; Montgomery County; Maryland,2779.0,0.3,2.9,19.4,5.2,250001.0
24031701205,Census Tract 7012.05; Montgomery County; Maryland,7461.0,0.8,1.8,21.2,7.0,216964.0
24031701206,Census Tract 7012.06; Montgomery County; Maryland,6736.0,1.0,2.4,20.9,10.6,245954.0
24031701210,Census Tract 7012.10; Montgomery County; Maryland,3879.0,2.0,3.3,22.6,8.2,250001.0
24031701211,Census Tract 7012.11; Montgomery County; Maryland,5758.0,10.6,4.4,14.1,8.6,119856.0
24031701212,Census Tract 7012.12; Montgomery County; Maryland,2668.0,3.1,4.7,23.1,16.9,185313.0
24031701214,Census Tract 7012.14; Montgomery County; Maryland,4256.0,8.9,2.0,12.5,4.5,102500.0
24031701215,Census Tract 7012.15; Montgomery County; Maryland,4433.0,8.9,6.5,16.8,6.2,114485.0
24031701216,Census Tract 7012.16; Montgomery County; Maryland,5429.0,17.0,4.5,18.3,8.7,117509.0
24031701218,Census Tract 7012.18; Montgomery County; Maryland,2791.0,19.8,5.8,30.5,19.6,81324.0
24031701219,Census Tract 7012.19; Montgomery County; Maryland,4557.0,13.9,7.7,3.6,7.3,87188.0
24031701220,Census Tract 7012.20; Montgomery County; Maryland,3553.0,1.3,0.2,20.9,8.6,249722.0
24031701221,Census Tract 7012.21; Montgomery County; Maryland,4255.0,13.3,11.9,18.0,9.8,175641.0
24031701222,Census Tract 7012.22; Montgomery County; Maryland,3574.0,6.4,5.3,29.3,9.0,152853.0
24031701223,Census Tract 7012.23; Montgomery County; Maryland,2963.0,1.7,3.7,13.8,5.0,122721.0
24031701303,Census Tract 7013.03; Montgomery County; Maryland,3729.0,0.5,3.0,28.5,9.4,216917.0
24031701304,Census Tract 7013.04; Montgomery County; Maryland,6280.0,1.9,6.7,18.9,11.0,190583.0
24031701306,Census Tract 7013.06; Montgomery County; Maryland,2746.0,2.7,2.4,19.6,7.0,205667.0
24031701307,Census Tract 7013.07; Montgomery County; Maryland,4538.0,9.3,5.6,15.2,4.8,193542.0
24031701308,Census Tract 7013.08; Montgomery County; Maryland,4968.0,1.3,3.4,19.9,10.4,146967.0
24031701312,Census Tract 7013.12; Montgomery County; Maryland,6484.0,0.0,2.5,14.8,14.9,169598.0
24031701313,Census Tract 7013.13; Montgomery County; Maryland,3626.0,1.7,5.0,17.9,8.8,177266.0
24031701314,Census Tract 7013.14; Montgomery County; Maryland,2907.0,4.9,1.1,17.3,8.0,170660.0
24031701315,Census Tract 7013.15; Montgomery County; Maryland,4218.0,2.4,6.5,13.3,6.3,161264.0
24031701316,Census Tract 7013.16; Montgomery County; Maryland,6451.0,1.3,3.4,24.5,6.2,160313.0
24031701317,Census Tract 7013.17; Montgomery County; Maryland,4542.0,1.4,4.4,22.3,8.2,204625.0
24031701407,Census Tract 7014.07; Montgomery County; Maryland,5771.0,2.2,2.8,26.0,10.5,186207.0
24031701408,Census Tract 7014.08; Montgomery County; Maryland,5358.0,0.0,5.2,21.2,7.9,143966.0
24031701409,Census Tract 7014.09; Montgomery County; Maryland,4772.0,8.3,2.9,23.3,10.0,211005.0
24031701414,Census Tract 7014.14; Montgomery County; Maryland,7714.0,11.3,7.8,19.0,12.9,133418.0
24031701415,Census Tract 7014.15; Montgomery County; Maryland,8609.0,3.5,9.6,22.5,12.7,105286.0
24031701417,Census Tract 7014.17; Montgomery County; Maryland,6576.0,8.4,10.9,10.8,13.7,78750.0
24031701418,Census Tract 7014.18; Montgomery County; Maryland,3473.0,2.2,5.5,17.4,6.2,108271.0
24031701422,Census Tract 7014.22; Montgomery County; Maryland,2604.0,22.3,11.0,4.4,9.9,61157.0
24031701423,Census Tract 7014.23; Montgomery County; Maryland,5456.0,8.0,13.8,7.9,12.4,89196.0
24031701424,Census Tract 7014.24; Montgomery County; Maryland,3519.0,1.4,9.8,16.3,6.1,147529.0
