GEOID,tract_name,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino
24031700823,Census Tract 7008.23; Montgomery County; Maryland,3373.0,1509.0,600.0,560.0,526.0
24031700824,Census Tract 7008.24; Montgomery County; Maryland,2703.0,1754.0,109.0,504.0,111.0
24031700826,Census Tract 7008.26; Montgomery County; Maryland,6101.0,4102.0,80.0,1266.0,322.0
24031700828,Census Tract 7008.28; Montgomery County; Maryland,2076.0,1178.0,121.0,452.0,194.0
24031700829,Census Tract 7008.29; Montgomery County; Maryland,3299.0,1527.0,217.0,966.0,326.0
24031700830,Census Tract 7008.30; Montgomery County; Maryland,2516.0,319.0,874.0,652.0,420.0
24031700832,Census Tract 7008.32; Montgomery County; Maryland,3004.0,676.0,401.0,147.0,1739.0
24031700833,Census Tract 7008.33; Montgomery County; Maryland,4027.0,1268.0,719.0,912.0,1007.0
24031700834,Census Tract 7008.34; Montgomery County; Maryland,5665.0,624.0,1820.0,331.0,2398.0
24031700835,Census Tract 7008.35; Montgomery County; Maryland,4695.0,1016.0,1416.0,1629.0,584.0
24031700836,Census Tract 7008.36; Montgomery County; Maryland,1484.0,331.0,150.0,440.0,184.0
24031700837,Census Tract 7008.37; Montgomery County; Maryland,6909.0,1055.0,860.0,3196.0,1780.0
24031700838,Census Tract 7008.38; Montgomery County; Maryland,4636.0,1509.0,979.0,740.0,808.0
24031700839,Census Tract 7008.39; Montgomery County; Maryland,5604.0,2366.0,1083.0,1652.0,445.0
24031700901,Census Tract 7009.01; Montgomery County; Maryland,4905.0,1869.0,573.0,1847.0,441.0
24031700902,Census Tract 7009.02; Montgomery County; Maryland,4299.0,1695.0,541.0,785.0,1191.0
24031700903,Census Tract 7009.03; Montgomery County; Maryland,2072.0,538.0,262.0,193.0,1002.0
24031700904,Census Tract 7009.04; Montgomery County; Maryland,3979.0,943.0,589.0,1439.0,818.0
24031700905,Census Tract 7009.05; Montgomery County; Maryland,4430.0,2314.0,227.0,1365.0,498.0
24031701001,Census Tract 7010.01; Montgomery County; Maryland,5998.0,3155.0,484.0,1195.0,676.0
24031701002,Census Tract 7010.02; Montgomery County; Maryland,3928.0,2464.0,387.0,545.0,316.0
24031701004,Census Tract 7010.04; Montgomery County; Maryland,4654.0,2534.0,630.0,462.0,811.0
