term,estimate,std_error,t_value,p_value
Intercept,-47.90745558914924,46.60739706499396,-1.0278938238568085,0.3050842561859479
transit_need_index,-34.580865294340214,43.90866001150657,-0.7875636670597111,0.43176636348944586
weekday_total_trips_accessible_2025_january,0.014875235308126946,0.0163499619095285,0.9098024442159643,0.3638832858390251
