transit_need_quartile,n_tracts,mean_transit_need_index,mean_baseline_weekday_trips,mean_weekday_trip_change,median_weekday_trip_change,mean_weekend_trip_change,mean_peak_frequency_change,mean_weekday_trips_per_1000_change,mean_accessible_stop_change
low,58,-0.5625713706061414,1826.3103448275863,-19.189655172413794,-18.0,-41.793103448275865,-1.4008620689655173,-3.9040005555545605,-2.4482758620689653
moderate_low,58,-0.30543891627539577,2173.8793103448274,40.1551724137931,0.0,-7.879310344827586,1.7025862068965518,2.9304991302604217,-1.6206896551724137
moderate_high,58,0.016882167965513235,2219.2586206896553,-11.879310344827585,-16.5,-4.017241379310345,-2.5086206896551726,-3.4478045804173507,-2.4655172413793105
high,58,0.8511281189160241,2944.7413793103447,-64.39655172413794,-41.0,-73.53448275862068,-5.517241379310345,-16.824072796157708,-3.689655172413793
