"Permit Number","Status","Street Number","Street Name","Street Suffix","Post-direction","City","State","ZIP code","Added Date","Issue Date","Final Date","Building Area","Declared Valuation","Description","Application Type","Work Type","Use Code","Pre-direction","Location"
"575620","Open","12701","HORSESHOE BEND","CIR",,"CLARKSBURG","MD","20871","07/28/2011",,,"2,160","$250,000.00","House Type:  Annapolis","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.258065 39.231176)"
"789476","Issued","13817","PETREL","ST",,"CLARKSBURG","MD","20871","02/14/2017","03/03/2017",,"1,834","$250,000.00","Customer Wants To Use ePlans,Lot 24J Cabin Branch MPDU Everson 16EA.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"472886","Finaled","23101","ROBIN SONG","DR",,"CLARKSBURG","MD","20871","11/30/2007","08/21/2008","08/20/2009","2,175","$100,000.00","MODEL: WASHINGTON","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.264677 39.236397)"
"335443","Finaled","5013","CEDAR CROFT","LN",,"BETHESDA","MD","20814","02/28/2004","08/25/2004","01/26/2006","6,800","$400,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.09875 39.008647)"
"603536","Finaled","14732","WOOTTON CROSSING","CT",,"ROCKVILLE","MD","20850","06/28/2012","05/17/2013","12/16/2013","2,232","$95,000.00","HOUSE TYPE:&nbsp; JOHN JACOB ASTOR","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.20847 39.098299)"
"252031","Finaled","18021","FOXWORTH","CT",,"GERMANTOWN","MD","20874","06/27/2001","09/17/2001","02/19/2002","9,600","$12,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.290697 39.152683)"
"728612","Stop Work","13823","GREBE","ST",,"CLARKSBURG","MD","20871","09/16/2015","10/27/2015","05/11/2016","1,891","$200,000.00","Customer Wants To Use ePlans,Lot 21D 16EA MPDU","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"263260","Finaled","13959","LULLABY","RD",,"GERMANTOWN","MD","20874","11/13/2001","12/17/2001","06/05/2002","2,058","$76,000.00","MODEL:  SILVERBROOK","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.288373 39.175789)"
"812354","Finaled","13746","PETREL","ST",,"CLARKSBURG","MD","20871","09/06/2017","10/11/2017","04/18/2018","2,566","$300,000.00","Customer Wants To Use ePlans,Cabin Branch Lot 25R Donovan","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"461361","Finaled","12525","BLUE SKY","DR",,"CLARKSBURG","MD","20871","07/30/2007","08/18/2008","03/16/2009","2,375","$200,000.00","MODEL:  WASHINGTON (ADD 400SF FREESTANDING GARAGE TO MODEL PLAN)","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.262023 39.238063)"
"808737","Finaled","22309","BROADWAY","AVE",,"CLARKSBURG","MD","20871","08/02/2017","08/24/2017","12/17/2018","1,851","$250,000.00","Customer Wants To Use ePlans,Lot 17R Yardley 16EA MPDU Cabin Branch","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.286338 39.219742)"
"469013","Finaled","1741","CHISWICK","CT",,"SILVER SPRING","MD","20904","10/23/2007","12/31/2007","08/27/2009","2,500","$95,000.00","House Type Change from Hazelton (#420535) to Astor.  Permit Extended and will expire 10/10/09.","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.976252 39.040635)"
"436139","Finaled","22446","BRICK HAVEN","WAY",,"CLARKSBURG","MD","20871","10/17/2006","11/14/2006","07/20/2007","1,422","$150,000.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.265267 39.221944)"
"335869","Finaled","13005","ETHEL ROSE","WAY",,"BOYDS","MD","20841","02/29/2004","12/07/2004","11/16/2005","2,336","$113,200.00",,"BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.266266 39.213114)"
"639699","Finaled","53","ELLSWORTH HEIGHTS","ST",,"SILVER SPRING","MD","20910","06/25/2013","10/21/2015","08/19/2016","2,668","$248,000.00","Referback: Model Type F","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"661744","Finaled","4817","BRIGHTWOOD","CIR",,"OLNEY","MD","20832","01/29/2014","02/20/2014","06/24/2014","1,900","$95,000.00","*E PLANS*

NEW TOWNHOME ON VACANT LOT / REFERBACK BEETHOVEN FTE MODEL / 2012 IRC","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"276947","Finaled","11507","RABBIT RUN","TER",,"SILVER SPRING","MD","20904","05/08/2002","08/05/2002","12/16/2002","2,244","$82,000.00","MODEL:  FAIRLINGTON","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-76.98024 39.046226)"
