GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino,pct_people_of_color,pct_households_no_vehicle_z,pct_people_below_poverty_z,pct_age_65_plus_z,pct_disabled_z,transit_need_index,transit_need_percentile,transit_need_quartile
24031700316,Census Tract 7003.16; Montgomery County; Maryland,3997.0,4.8,4.4,9.4,8.5,160750.0,3997.0,716.0,595.0,1346.0,1069.0,82.08656492369278,-0.3920580881213089,-0.519067692175485,-0.8140789821116479,-0.24737165742400283,-0.4931441049581111,0.16810344827586207,low
24031700317,Census Tract 7003.17; Montgomery County; Maryland,8670.0,5.6,4.4,10.1,4.1,183355.0,8670.0,3024.0,1286.0,2796.0,1196.0,65.12110726643598,-0.29141357753304487,-0.519067692175485,-0.744770239414436,-1.2253615408415952,-0.6951532624911403,0.03879310344827586,low
24031700318,Census Tract 7003.18; Montgomery County; Maryland,3643.0,0.7,5.3,8.2,7.6,155592.0,3643.0,1359.0,641.0,870.0,542.0,62.69558056546802,-0.9078612048861621,-0.3678449572428197,-0.9328939695925825,-0.4474150426685104,-0.6640037935975187,0.05603448275862069,low
24031700400,Census Tract 7004; Montgomery County; Maryland,2462.0,0.6,2.6,19.0,10.8,213000.0,2462.0,1659.0,251.0,63.0,419.0,32.6157595450853,-0.9204417687096952,-0.8215131620408157,0.1364409177358291,0.2638503270897387,-0.3354159214812358,0.34051724137931033,moderate_low
24031700500,Census Tract 7005; Montgomery County; Maryland,7428.0,0.6,7.8,17.7,12.2,181360.0,7428.0,5262.0,182.0,460.0,948.0,29.159935379644587,-0.9204417687096952,0.05221819534791743,0.007724681298149841,0.5750289263589723,-0.07136749142616391,0.5818965517241379,moderate_high
24031700604,Census Tract 7006.04; Montgomery County; Maryland,7051.0,2.1,1.2,18.3,5.7,232135.0,7051.0,5034.0,117.0,1136.0,518.0,28.605871507587576,-0.7317333113567001,-1.0567485274916286,0.06713217503861729,-0.8697288559624706,-0.6477696299430454,0.0603448275862069,low
24031700606,Census Tract 7006.06; Montgomery County; Maryland,4164.0,2.0,3.9,23.5,5.9,186154.0,4164.0,1883.0,454.0,1520.0,99.0,54.7790585975024,-0.7443138751802331,-0.6030803226936324,0.5819971207893339,-0.82527477035258,-0.3976679618592779,0.2801724137931034,moderate_low
24031700608,Census Tract 7006.08; Montgomery County; Maryland,5632.0,1.8,2.0,22.8,9.7,250001.0,5632.0,2841.0,306.0,1878.0,362.0,49.55610795454545,-0.7694750028272991,-0.9223283186625927,0.5126883780921221,0.019352856235340343,-0.2899405217906073,0.39655172413793105,moderate_low
24031700610,Census Tract 7006.10; Montgomery County; Maryland,2015.0,0.4,1.9,26.0,7.6,163810.0,2015.0,1206.0,93.0,307.0,321.0,40.148883374689824,-0.9456028963567611,-0.9391308447662222,0.8295283447079477,-0.4474150426685104,-0.37565510977088645,0.29310344827586204,moderate_low
24031700611,Census Tract 7006.11; Montgomery County; Maryland,5678.0,0.3,3.8,16.7,9.7,231417.0,5678.0,1187.0,627.0,3152.0,465.0,79.09475167312434,-0.9581834601802942,-0.619882848797262,-0.09128780826929567,0.019352856235340343,-0.41250031525287784,0.25,low
